Mouslim,Price
L1-Thai,1145.1
L1-Thai,1040.2
L1-Thai,1074.3
L1-Thai,119.6
L1-Thai,1588.2
L1-Thai,1671.1
L1-Thai,1396.2
L1-Thai,1227.2
L1-Thai,1200.4
L1-Thai,1036.9
L1-Thai,1051.4
L1-Thai,968.8
L1-Thai,1030
L1-Thai,1118.6
L1-Thai,1417.5
L1-Thai,1323
L1-Thai,1548.9
L1-Thai,1770.1
L1-Thai,1766.6
L2-Mala,1625.4
L2-Mala,1722.6
L2-Mala,1874.4
L2-Mala,1778.8
L2-Mala,2131.4
L2-Mala,1351.4
L2-Mala,1235.3
L2-Mala,1029
L2-Mala,1052.6
L2-Mala,1019.7
L2-Mala,1163.2
L2-Mala,1102.6
L2-Mala,1181.6
L2-Mala,1186.9
L2-Mala,1359.9
L2-Mala,1382.4
L2-Mala,1695.5
L2-Mala,1793.7
L2-Mala,1586.6
L3-Indo,1826.6
L3-Indo,1832.2
L3-Indo,1681.8
L3-Indo,1807.2
L3-Indo,1717.1
L3-Indo,2006.2
L3-Indo,1614.1
L3-Indo,773.5
L3-Indo,1512.8
L3-Indo,1335.2
L3-Indo,1180.6
L3-Indo,1431.1
L3-Indo,1566.1
L3-Indo,1593.7
L3-Indo,2163
L3-Indo,2455.8
L3-Indo,2607.2
L3-Indo,313.5
L3-Indo,3689.4
